!,,,,,,,,,,,,,,+++,,,,,
@@,prim_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,note,created,created_by,last_modified,last_modified_by
+++,PS00845,大众生活,,zh,G55,PL0003,1981,Shanghai shu dian,1941,,,,,,,2020-02-01,MG,2020-02-01,MG
+++,PS00846,August The First Manifesto,,en,G99,PL0999,19xx,unknown,,,,,,,check again,2020-02-01,MG,2020-02-04,MG
+++,PS00846,八一宣言,,zh,G99,PL0999,19xx,unknown,,,,,,,check again,2020-02-01,MG,2020-02-04,MG
+++,PS00847,Tsinghua Weekly,,en,G99,PL0999,19xx,unknown,,,,,,,check again,2020-02-01,MG,2020-02-04,MG
+++,PS00847,清华周刊,,zh,G99,PL0999,19xx,unknown,,,,,,,check again,2020-02-01,MG,2020-02-04,MG
+++,PS00848,Life of Reading,,en,G99,PL0999,19xx,unknown,,,,,,,check again,2020-02-01,MG,2020-02-04,MG
+++,PS00848,读书生活,,zh,G99,PL0999,19xx,unknown,,,,,,,check again,2020-02-01,MG,2020-02-04,MG
+++,PS00849,A Midsummer Night‘s Dream,,en,G17,PL0002,1954,Zuojia chubanshe,,,,,,,,2020-02-01,MG,2020-02-01,MG
+++,PS00849,仲夏夜之梦,,zh,G17,PL0002,1954,Zuojia chubanshe,,,,,,,,2020-02-01,MG,2020-02-01,MG
+++,PS00850,七言诗,,zh,G10,PL0999,19xx,unknown,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
+++,PS00851,A Singsong Girl,,en,G99,PL0999,19xx,unknown,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
+++,PS00852,Tragic Love,,en,G99,PL0999,19xx,unknown,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
+++,PS00853,Canonization of The Gods,,en,G99,PL0999,19xx,unknown,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
+++,PS00853,封神X,,zh,G99,PL0999,19xx,unknown,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
+++,PS00854,How to Study The New Social Sciences,,en,G99,PL0999,19xx,unknown,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
+++,PS00854,怎样研究新兴社会科学,,zh,G99,PL0999,19xx,unknown,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
+++,PS00855,汾阴行,,zh,G09,PL0999,19xx,unknown,,,,,,,check again,2020-02-06,MG,2020-02-06,MG
