!,...,,+++,...,,,,,,
@@,agent_id,old_id,name_lang,language,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,P0135,en,NULL,,,2017-08-11,MG,2017-12-19,MG
,AG0120,P0135,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0136,en,NULL,,,2017-08-26,MG,2018-01-12,OS
,AG0121,P0136,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0137,en,NULL,,,2017-08-31,MG,2018-02-09,OS
,AG0122,P0137,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0138,en,NULL,,,2017-08-31,MG,2017-12-19,MG
,AG0123,P0138,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0139,en,NULL,,,2017-08-31,MG,2018-02-08,OS
,AG0124,P0139,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0140,en,NULL,,,2017-08-31,MG,2018-02-02,WH
,AG0125,P0140,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0141,en,NULL,,,2017-09-06,CW,2017-12-23,MG
,AG0126,P0141,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0142,en,NULL,,,2017-09-06,CW,2018-02-02,WH
,AG0127,P0142,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0144,en,NULL,,,2018-11-12,MG,2018-11-13,MG
,AG0128,P0144,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0145,en,NULL,,,2017-09-22,MG,2017-10-13,MG
,AG0129,P0145,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0150,en,NULL,,,2017-09-22,MG,2018-03-13,WH
,AG0130,P0150,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0151,fr,NULL,,,2017-09-22,MG,2017-12-23,MG
,AG0131,P0151,zh,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0152,en,NULL,,,2017-09-22,MG,2018-03-13,WH
,AG0132,P0152,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0153,en,NULL,he was persecuted and sent to Henan during the CR,,2017-09-22,MG,2018-02-06,WH
,AG0133,P0153,zh,en,he was persecuted and sent to Henan during the CR,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0154,en,NULL,,,2017-09-22,MG,2017-11-06,OS
