!,...,,+++,...,,,,,,
@@,agent_id,old_id,name_lang,language,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,P0691,zh,NULL,,,2018-12-15,MG,2018-12-15,MG
,AG0498,P0692,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0692,zh,NULL,,,2018-12-17,MG,2018-12-17,MG
,AG0499,P0693,it,it,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0693,zh,NULL,,,2018-12-17,MG,2018-12-17,MG
,AG0500,P0694,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0694,zh,NULL,,,2018-12-17,MG,2018-12-17,MG
,AG0501,P0695,en,en,"He was nearly 50 years old around 1979, so he was probably born in 192x..193x.",,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0695,zh,NULL,"He was nearly 50 years old around 1979, so he was probably born in 192x..193x.",,2018-12-17,MG,2019-04-28,WH
,AG0502,P0696,de,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0696,zh,NULL,,,2018-12-30,MG,2018-12-30,MG
,AG0503,P0697,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0697,uk,NULL,,,2018-12-30,MG,2018-12-30,MG
+++,NULL,P0697,zh,NULL,,,2018-12-30,MG,2018-12-30,MG
,AG0504,P0698,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0698,ru,NULL,,,2018-12-30,MG,2018-12-30,MG
+++,NULL,P0698,zh,NULL,,,2018-12-30,MG,2018-12-30,MG
,AG0505,P0699,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0699,zh,NULL,,,2019-01-02,MG,2019-01-02,MG
,AG0506,P0700,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0700,en,NULL,,,2018-11-04,WH,2018-11-04,WH
+++,NULL,P0700,zh,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0507,P0701,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0701,zh,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0508,P0702,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0702,ru,NULL,,,2018-11-04,WH,2018-08-20,DP
+++,NULL,P0702,zh,NULL,,,2018-11-04,WH,2018-08-20,DP
,AG0509,P0703,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0703,zh,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0510,P0704,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0704,zh,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0511,P0705,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0705,zh,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0512,P0706,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0706,zh,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0513,P0707,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0707,zh,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0514,P0708,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0708,zh,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0515,P0709,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0709,zh,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0516,P0710,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0710,zh,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0517,P0711,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0711,zh,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0518,P0712,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0712,zh,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0519,P0713,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0713,zh,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0520,P0714,en,en,He was sent to PL0511 as worker in 1973.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0714,zh,NULL,He was sent to PL0511 as worker in 1973.,,2018-11-06,WH,2018-11-06,WH
,AG0521,P0715,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0715,zh,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0522,P0716,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0716,zh,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0523,P0717,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0717,zh,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0524,P0718,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0718,zh,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0525,P0719,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0719,zh,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0526,P0720,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0720,zh,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0527,P0721,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0721,ru,NULL,,,2018-11-07,WH,2018-11-07,WH
+++,NULL,P0721,zh,NULL,,,2018-11-07,WH,2018-11-07,WH
,AG0528,P0722,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0722,ru,NULL,,,2018-11-07,WH,2018-11-07,WH
+++,NULL,P0722,zh,NULL,,,2018-11-07,WH,2018-11-07,WH
,AG0529,P0723,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0723,zh,NULL,,,2018-11-07,WH,2018-11-07,WH
,AG0530,P0724,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0724,zh,NULL,,,2018-11-07,WH,2018-11-07,WH
,AG0531,P0725,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0725,zh,NULL,,,2018-11-07,WH,2018-11-07,WH
,AG0532,P0726,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0726,jp,NULL,,,2018-11-08,WH,2018-11-08,WH
+++,NULL,P0726,zh,NULL,,,2018-11-08,WH,2018-11-08,WH
,AG0533,P0727,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0727,zh,NULL,,,2018-11-08,WH,2018-11-08,WH
,AG0534,P0728,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0728,zh,NULL,,,2018-11-08,WH,2018-11-08,WH
,AG0535,P0729,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0729,zh,NULL,,,2018-11-08,WH,2018-11-08,WH
,AG0536,P0730,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0730,zh,NULL,,,2018-11-09,WH,2018-11-09,WH
,AG0537,P0731,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0731,zh,NULL,,,2018-11-09,WH,2018-11-09,WH
,AG0538,P0732,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0732,zh,NULL,,,2018-11-10,WH,2018-11-10,WH
,AG0539,P0733,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0733,zh,NULL,,,2018-11-10,WH,2018-11-10,WH
,AG0540,P0734,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0734,zh,NULL,,,2018-11-11,WH,2018-11-11,WH
,AG0541,P0735,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0735,zh,NULL,,,2018-11-11,WH,2018-11-11,WH
,AG0542,P0736,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0736,zh,NULL,,,2018-11-13,WH,2018-11-13,WH
,AG0543,P0737,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0737,zh,NULL,,,2018-11-13,WH,2018-11-13,WH
,AG0544,P0738,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0738,zh,NULL,,,2018-11-13,WH,2018-11-13,WH
,AG0545,P0739,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0739,zh,NULL,,,2018-11-13,WH,2018-11-13,WH
,AG0546,P0740,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0740,ru,NULL,,,2018-11-14,WH,2018-11-14,WH
+++,NULL,P0740,zh,NULL,,,2018-11-14,WH,2018-11-14,WH
,AG0547,P0741,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0741,ru,NULL,,,2018-11-14,WH,2018-11-14,WH
+++,NULL,P0741,zh,NULL,,,2018-11-14,WH,2018-11-14,WH
,AG0548,P0742,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0742,zh,NULL,,,2018-11-15,WH,2018-11-15,WH
,AG0549,P0743,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0743,zh,NULL,,,2018-11-15,WH,2018-11-15,WH
,AG0550,P0744,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0744,zh,NULL,,,2018-11-16,WH,2018-11-16,WH
,AG0551,P0745,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0745,ru,NULL,,,2018-11-24,WH,2018-11-24,WH
,AG0552,P0746,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0746,uk,NULL,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,P0746,zh,NULL,,,2018-11-24,WH,2018-11-24,WH
,AG0553,P0747,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0747,zh,NULL,,,2018-11-25,WH,2019-01-26,WH
,AG0554,P0748,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0748,zh,NULL,,,2018-11-25,WH,2018-11-25,WH
,AG0555,P0749,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0749,zh,NULL,,,2018-11-25,WH,2018-11-25,WH
,AG0556,P0750,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0750,zh,NULL,,,2018-11-25,WH,2018-11-25,WH
+++,NULL,P0751,en,NULL,,,2018-11-25,WH,2018-11-25,WH
,AG0557,P0751,zh,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0559,P0753,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0753,zh,NULL,,,2018-11-25,WH,2018-11-25,WH
+++,NULL,P0754,en,NULL,,,2018-11-25,WH,2018-11-25,WH
,AG0560,P0754,zh,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0562,P0756,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0756,zh,NULL,,,2018-12-15,WH,2018-12-15,WH
,AG0563,P0757,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0757,zh,NULL,,,2018-12-15,WH,2018-12-15,WH
,AG0564,P0758,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0758,zh,NULL,,,2018-12-16,WH,2018-12-16,WH
,AG0565,P0759,en,en,He was also rusticated in PL0541 between 1971 and 1972.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0759,zh,NULL,He was also rusticated in PL0541 between 1971 and 1972.,,2018-12-16,WH,2018-12-16,WH
,AG0566,P0760,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0760,zh,NULL,,,2018-12-16,WH,2018-12-16,WH
,AG0567,P0761,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0761,zh,NULL,,,2018-12-17,WH,2018-12-17,WH
,AG0568,P0762,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0762,zh,NULL,,,2018-12-17,WH,2018-12-17,WH
,AG0569,P0763,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0763,zh,NULL,,,2018-12-22,WH,2018-12-22,WH
,AG0570,P0764,en,en,He was one of the editors of W0356.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0764,zh,NULL,He was one of the editors of PS00579.,,2018-12-22,WH,2019-01-27,WH
,AG0571,P0765,en,en,He was one of the editors of W0356.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0765,zh,NULL,He was one of the editors of PS00579.,,2018-12-22,WH,2019-01-27,WH
,AG0572,P0766,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0766,zh,NULL,,,2018-12-23,WH,2018-12-23,WH
,AG0573,P0767,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0767,zh,NULL,,,2018-12-23,WH,2018-12-23,WH
,AG0574,P0768,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0768,zh,NULL,,,2018-12-23,WH,2018-12-23,WH
,AG0575,P0769,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0769,zh,NULL,,,2018-12-24,WH,2018-12-24,WH
,AG0576,P0770,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0770,zh,NULL,,,2018-12-24,WH,2018-12-24,WH
,AG0577,P0771,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0771,zh,NULL,,,2018-12-24,WH,2018-12-24,WH
,AG0578,P0772,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0772,zh,NULL,,,2018-12-24,WH,2018-12-24,WH
,AG0579,P0773,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0773,zh,NULL,,,2019-01-25,WH,2019-01-25,WH
,AG0580,P0774,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0774,zh,NULL,,,2019-01-26,WH,2019-01-26,WH
,AG0581,P0775,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0775,zh,NULL,,,2019-01-26,WH,2019-01-26,WH
,AG0582,P0776,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0776,zh,NULL,,,2019-01-28,WH,2019-01-28,WH
,AG0583,P0777,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0777,zh,NULL,,,2019-01-29,WH,2019-02-17,WH
,AG0584,P0778,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0778,zh,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0585,P0779,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0779,zh,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0586,P0780,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0780,zh,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0587,P0781,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0781,zh,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0588,P0782,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0782,zh,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0589,P0783,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0783,zh,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0590,P0784,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0784,zh,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0591,P0785,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0785,zh,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0592,P0786,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0786,zh,NULL,,,2019-02-23,WH,2019-02-23,WH
,AG0593,P0787,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0787,zh,NULL,,,2019-02-23,WH,2019-02-23,WH
,AG0594,P0788,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0788,zh,NULL,,,2019-02-23,WH,2019-02-23,WH
,AG0595,P0789,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0789,zh,NULL,,,2019-02-23,WH,2019-02-23,WH
,AG0596,P0790,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0790,zh,NULL,,,2019-02-23,WH,2019-02-23,WH
,AG0597,P0791,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0791,zh,NULL,,,2019-02-23,WH,2019-02-23,WH
,AG0598,P0792,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0792,zh,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0599,P0793,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0793,zh,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0600,P0794,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0794,zh,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0601,P0795,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0795,zh,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0602,P0796,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0796,zh,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0603,P0797,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0797,zh,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0604,P0798,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0798,zh,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0605,P0799,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0799,zh,NULL,,,2019-03-08,LH,2019-10-13,DP
,AG0606,P0800,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0800,zh,NULL,,,2019-01-08,MG,2019-01-08,MG
,AG0607,P0801,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0801,zh,NULL,,,2019-02-11,MG,2019-04-28,WH
,AG0608,P0802,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0802,zh,NULL,,,2019-02-11,MG,2019-02-11,MG
,AG0609,P0803,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0803,zh,NULL,,,2019-02-11,MG,2019-04-28,WH
,AG0610,P0804,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0804,zh,NULL,,,2019-02-18,MG,2019-02-18,MG
,AG0611,P0805,de,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0805,zh,NULL,,,2019-02-18,MG,2019-02-18,MG
+++,NULL,P0806,de,NULL,,,2019-02-18,MG,2019-02-18,MG
,AG0612,P0806,zh,de,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0614,P0808,en,en,Fang Lizhi was not rusticated but sent for reeducation,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0808,zh,NULL,Fang Lizhi was not rusticated but sent for reeducation,,2019-02-19,LH,2019-02-19,LH
,AG0615,P0809,ru,ru,,,2020-04-02,DP,2020-04-02,DP
,AG0616,P0810,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0810,zh,NULL,,,2019-03-08,MG,2019-03-08,MG
,AG0617,P0811,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0811,zh,NULL,,Note that this author is also referred to in Open Love Letters!,2019-03-08,MG,2019-03-09,MG
,AG0618,P0812,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0812,zh,NULL,,,2019-03-08,MG,2019-03-08,MG
,AG0619,P0813,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0813,zh,NULL,,,2019-03-08,MG,2019-03-08,MG
,AG0620,P0814,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0814,zh,NULL,,,2019-03-08,MG,2019-03-08,MG
,AG0621,P0815,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0815,zh,NULL,,,2019-03-09,MG,2019-03-09,MG
+++,NULL,P0850,en,NULL,,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P0850,zh,NULL,,,2019-03-12,LH,2019-10-13,DP
,AG0622,P0900,en,en,Part of a group mentioned by AG0613,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0900,zh,NULL,He was a member of P0807.,,2019-03-24,WH,2019-03-24,WH
,AG0623,P0901,en,en,Part of a group mentioned by AG0613,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0901,zh,NULL,He was a member of P0807.,,2019-03-24,WH,2019-03-24,WH
,AG0624,P0902,en,en,Part of a group mentioned by AG0613,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0902,zh,NULL,He was a member of P0807.,,2019-03-24,WH,2019-03-24,WH
,AG0625,P0903,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0903,zh,NULL,,,2019-03-24,WH,2019-03-24,WH
,AG0626,P0999,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0999,zh,NULL,,,2017-11-07,DP,2017-11-07,DP
+++,NULL,P1000,zh,NULL,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P1000,zh-Latn-py,NULL,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P1001,zh,NULL,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P1001,zh-Latn-py,NULL,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P1002,zh,NULL,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P1002,zh-Latn-py,NULL,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P1003,en,NULL,,,2019-07-30,MG,2019-07-30,MG
+++,NULL,P1003,zh,NULL,,,2019-07-30,MG,2019-07-30,MG
+++,NULL,P1004,zh-Latn-py,NULL,,,2019-07-30,MG,2019-07-30,MG
+++,NULL,P1005,en,NULL,No name mentioned. Protagonist and narrator of the novel,,2019-07-30,MG,2019-07-30,MG
+++,NULL,P1006,fr,NULL,,,2019-07-30,MG,2019-07-30,MG
+++,NULL,P1007,fr,NULL,,,2019-07-30,MG,2019-10-13,DP
+++,NULL,P1008,en,NULL,,,2019-08-03,MG,2019-10-13,DP
+++,NULL,P1009,en,NULL,,,2019-08-03,MG,2019-10-13,DP
+++,NULL,P1010,en,NULL,Luo‘s aunt,,2019-08-03,MG,2019-10-13,DP
+++,NULL,P1011,en,NULL,Le Binoclard‘s mother,,2019-08-03,MG,2019-10-13,DP
+++,NULL,P1012,en,NULL,,,2019-08-03,MG,2019-09-12,MG
+++,NULL,P1012,zh,NULL,,,2019-09-12,MG,2019-09-12,MG
+++,NULL,P1013,en,NULL,,,2019-09-12,MG,2019-09-12,MG
+++,NULL,P1013,zh,NULL,,,2019-09-12,MG,2019-09-12,MG
+++,NULL,P1014,ep,NULL,,,2019-09-12,MG,2019-09-12,MG
+++,NULL,P1014,zh,NULL,,,2019-09-12,MG,2019-09-12,MG
+++,NULL,P1015,zh,NULL,,,2019-09-12,MG,2019-10-13,DP
+++,NULL,P1016,en,NULL,,,2019-09-13,MG,2019-09-13,MG
+++,NULL,P1016,zh,NULL,,,2019-09-13,MG,2019-09-13,MG
+++,NULL,P1017,en,NULL,,,2019-10-14,MG,2019-10-14,MG
+++,NULL,P1017,ko,NULL,,,2019-10-14,MG,2019-10-14,MG
+++,NULL,P1017,zh,NULL,,,2019-10-14,MG,2019-10-14,MG
+++,NULL,P1018,en,NULL,,,2019-10-24,MG,2019-10-24,MG
+++,NULL,P1018,zh,NULL,,,2019-10-24,MG,2019-10-24,MG
+++,NULL,P1019,en,NULL,,,2019-10-24,MG,2019-10-24,MG
+++,NULL,P1019,zh,NULL,,,2019-10-24,MG,2019-10-24,MG
+++,NULL,P1020,en,NULL,,check CCP status (social status),2019-10-24,MG,2019-10-30,MG
+++,NULL,P1020,zh,NULL,,check CCP status,2019-10-24,MG,2019-10-30,MG
+++,NULL,P1021,en,NULL,,narrative status,2019-10-24,MG,2019-10-30,MG
+++,NULL,P1021,zh,NULL,,narrative status,2019-10-24,MG,2019-10-30,MG
+++,NULL,P1022,en,NULL,the ‘bad’ student (and hoodlum 流氓). Was taken into the class after his release from a detention center X留所  where he’d been arrested for gang criminality,narrative status,2019-10-24,MG,2019-10-30,MG
+++,NULL,P1022,zh,NULL,the ‘bad’ student (and hoodlum 流氓). Was taken into the class after his release from a detention center X留所  where he’d been arrested for gang criminality,narrative status,2019-10-24,MG,2019-10-30,MG
+++,NULL,P1023,en,NULL,activist student; pretty stubborn and wants to do everything right; but still seems under the spell of what the GoF taught her. XHM is characterized as a ‘typical’ CR reader who loves to read but has limited access and believes everything the party writes; back then her parents advised her to read the newspaper diligently (ENG 96),narrative status,2019-10-24,MG,2019-11-08,MG
+++,NULL,P1023,zh,NULL,activist student; pretty stubborn and wants to do everything right; but still seems under the spell of what the GoF taught her,narrative status,2019-10-24,MG,2019-10-30,MG
+++,NULL,P1024,en,NULL,,,2019-10-30,MG,2019-10-30,MG
+++,NULL,P1024,ru,NULL,,,2019-10-30,MG,2019-10-30,MG
+++,NULL,P1024,zh,NULL,,,2019-10-30,MG,2019-10-30,MG
+++,NULL,P1025,en,NULL,,,2019-11-08,MG,2019-11-08,MG
+++,NULL,P1025,zh,NULL,,,2019-11-08,MG,2019-11-08,MG
+++,NULL,P1026,en,NULL,,,2019-11-08,MG,2019-11-08,MG
+++,NULL,P1026,ru,NULL,,,2019-11-08,MG,2019-11-08,MG
+++,NULL,P1026,zh,NULL,,,2019-11-08,MG,2019-11-08,MG
+++,NULL,P1027,en,NULL,,,2019-11-22,MG,2019-11-22,MG
+++,NULL,P1028,en,NULL,,,2019-11-22,MG,2019-11-22,MG
+++,NULL,P1029,en,NULL,,,2019-11-28,MG,2019-11-28,MG
+++,NULL,P1029,zh,NULL,,,2019-11-28,MG,2019-11-28,MG
+++,NULL,P1030,en,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1030,zh,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1031,en,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1031,zh,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1032,en,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1032,zh,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1033,en,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1033,zh,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1034,en,NULL,,pls check narrative status,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1035,en,NULL,,pls check narrative status,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1036,en,NULL,,pls check narrative status,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1037,en,NULL,,pls check narrative status,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1038,en,NULL,,,2019-12-02,MG,2019-12-02,MG
+++,NULL,P1038,zh,NULL,,,2019-12-02,MG,2019-12-10,MG
+++,NULL,P1039,en,NULL,,,2019-12-10,MG,2020-02-06,MG
+++,NULL,P1040,en,NULL,,,2019-12-12,MG,2020-02-06,MG
+++,NULL,P1041,de,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1041,zh,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1042,en,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1042,zh,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1043,en,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1043,zh,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1044,en,NULL,,,2019-12-12,MG,2019-12-12,MG
