!,...,,...,,,,,,
@@,agent_id,old_id,language,commentary,note,created,created_by,last_modified,last_modified_by
,AG0097,P0099,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0099,NULL,,,2017-07-10,OS,2018-03-13,WH
,AG0098,P0100,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0100,NULL,,,2017-07-10,OS,2018-02-06,WH
,AG0099,P0101,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0101,NULL,,,2017-07-10,OS,2018-01-08,MG
,AG0100,P0103,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0103,NULL,,,2017-07-10,OS,2018-03-13,WH
,AG0101,P0104,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0104,NULL,,,2017-07-10,OS,2018-01-08,MG
,AG0102,P0105,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0105,NULL,,,2017-07-10,OS,2018-01-08,MG
,AG0103,P0106,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0106,NULL,,,2017-07-12,OS,2018-01-08,MG
,AG0104,P0107,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0107,NULL,,He interviewed 芒克.,2017-07-12,OS,2018-03-13,WH
,AG0105,P0108,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0108,NULL,,,2017-07-12,OS,2019-04-28,WH
,AG0106,P0109,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0109,NULL,,,2017-07-18,LH,2018-11-13,MG
,AG0107,P0110,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0110,NULL,,,2017-07-19,LH,2018-01-08,MG
+++,NULL,P0110,NULL,,,2017-07-19,LH,2018-01-08,MG
+++,NULL,P0115,NULL,,,2017-07-19,OS,2018-03-13,WH
+++,NULL,P0115,NULL,,,2017-07-19,OS,2018-03-13,WH
,AG0109,P0115,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0116,NULL,,,2017-07-19,OS,2017-10-13,MG
,AG0110,P0116,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0117,NULL,,,2017-07-20,OS,2017-10-13,MG
,AG0111,P0117,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0118,NULL,,,2017-07-19,OS,2017-10-13,MG
+++,NULL,P0118,NULL,,,2017-07-25,MG,2017-12-23,MG
,AG0112,P0118,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0119,NULL,黄炜华之子?,,2017-07-27,LH,2018-02-02,WH
,AG0113,P0119,en,黄炜华之子?,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0120,NULL,,,2017-08-01,LH,2018-02-02,WH
,AG0114,P0120,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0130,NULL,,,2017-07-28,MG,2018-02-07,WH
,AG0115,P0130,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0131,NULL,父亲是著名历史学家李新,Third source: http://news.cyol.com/yuanchuang/2017-12/03/content_16742715.htm,2017-07-28,MG,2018-11-13,WH
,AG0116,P0131,en,父亲是著名历史学家李新,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0132,NULL,,,2017-08-07,MG,2018-01-12,OS
,AG0117,P0132,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0133,NULL,,,2017-08-07,MG,2018-02-07,WH
,AG0118,P0133,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0134,NULL,,,2017-08-11,MG,2018-01-16,OS
,AG0119,P0134,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0135,NULL,,,2017-08-11,MG,2017-12-19,MG
,AG0120,P0135,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0136,NULL,,,2017-08-26,MG,2018-01-12,OS
,AG0121,P0136,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0137,NULL,,,2017-08-31,MG,2018-02-09,OS
,AG0122,P0137,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0138,NULL,,,2017-08-31,MG,2017-12-19,MG
,AG0123,P0138,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0139,NULL,,,2017-08-31,MG,2018-02-08,OS
,AG0124,P0139,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0140,NULL,,,2017-08-31,MG,2018-02-02,WH
,AG0125,P0140,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0141,NULL,,,2017-09-06,CW,2017-12-23,MG
,AG0126,P0141,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0142,NULL,,,2017-09-06,CW,2018-02-02,WH
,AG0127,P0142,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0144,NULL,,,2018-11-12,MG,2018-11-13,MG
,AG0128,P0144,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0145,NULL,,,2017-09-22,MG,2017-10-13,MG
,AG0129,P0145,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0150,NULL,,,2017-09-22,MG,2018-03-13,WH
,AG0130,P0150,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0151,NULL,,,2017-09-22,MG,2017-12-23,MG
,AG0131,P0151,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0152,NULL,,,2017-09-22,MG,2018-03-13,WH
,AG0132,P0152,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0153,NULL,he was persecuted and sent to Henan during the CR,,2017-09-22,MG,2018-02-06,WH
,AG0133,P0153,en,he was persecuted and sent to Henan during the CR,,2020-04-02,DP,2020-04-02,DP
