act_id,agent,action,act_object,act_target,start,end,narrative_time,substantial_discussion,source,page,source_status,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
A00499,AG0156,AT05,W0207,,1966,1976,NULL,NULL,W0435,327,NULL,NULL,,,2018-11-17,DM,2020-04-04,DP
A00500,AG0011,AT05,W0639,,19xx,19xx,NULL,NULL,W0477,57,NULL,NULL,All data missing in the original dataset,Added by JH transferred without rechecking requires further checks,2018-11-17,DM,2020-04-04,DP
A00501,AG0103,AT05,W0069,,1972,1972,NULL,NULL,W0419,581,NULL,NULL,,,2018-04-11,WH,2020-04-04,DP
A00502,AG0009,AT01,W0070,,"[1949..1966, 1967]","[1949..1966, 1967]",NULL,NULL,W0487,46,NULL,NULL,,,2018-04-26,WH,2020-04-04,DP
A00503,AG0626,AT01,W0414,,19xx,19xx,NULL,NULL,W0419,583,NULL,NULL,,,2018-04-26,WH,2020-04-04,DP
A00504,AG0018,AT05,W0414,,19xx,19xx,NULL,NULL,W0480,311,NULL,NULL,,,2018-04-26,WH,2020-04-04,DP
A00505,AG0003,AT17,W0217,,[1963..1965?],[1963..1965?],NULL,NULL,W0439,46,NULL,NULL,,,2018-04-26,WH,2020-04-04,DP
A00506,AG0626,AT01,W0074,,1976~,1976~,NULL,NULL,W0478,335,NULL,NULL,,,2018-04-26,WH,2020-12-19,MG
A00507,AG0061,AT01,W0074,,1969,1970,NULL,NULL,W0440,461,NULL,NULL,,,2018-04-26,WH,2020-12-09,MG
A00508,AG0115,AT25,W0218,,1968~,1968~,NULL,NULL,W0471,418,NULL,NULL,,,2018-04-26,WH,2020-12-19,MG
A00509,AG0626,AT03,W0218,AG0061,1973,1974,NULL,NULL,W0440,,NULL,NULL,,,2018-05-02,WH,2020-12-09,MG
A00510,AG0122,AT05,W0414,,19xx,19xx,NULL,NULL,W0485,351,NULL,NULL,,,2018-05-03,WH,2020-04-04,DP
A00511,AG0196,AT05,W0219,,1966,1966,NULL,NULL,W0489,,NULL,NULL,,,2018-05-03,WH,2020-04-04,DP
A00512,AG0116,AT01,W0220,,1973,1973,NULL,NULL,W0475,554,NULL,NULL,,,2018-05-03,WH,2020-12-19,MG
A00513,AG0116,AT01,W0414,,19xx,19xx,NULL,NULL,W0475,560,NULL,NULL,,,2018-05-03,WH,2020-04-04,DP
A00514,AG0033,AT05,W0221,,19xx,19xx,NULL,NULL,W0443,,NULL,NULL,,,2018-05-03,WH,2020-04-04,DP
A00515,AG0003,AT01,W0156,,1961,1963?,NULL,NULL,W0439,38,NULL,NULL,,,2018-05-03,WH,2020-12-19,MG
A00516,AG0033,AT01,W0222,,19xx,19xx,NULL,NULL,W0443,,NULL,NULL,,,2018-05-03,WH,2020-04-04,DP
A00517,AG0011,AT05,W0554,,1968..,1968..,NULL,NULL,W0477,56,NULL,NULL,,,2018-06-21,WH,2020-04-04,DP
A00518,AG0032,AT05,W0223,AG0031,1969..,1969..,NULL,NULL,W0436,ONLINE SOURCE,NULL,NULL,,,2018-06-21,WH,2020-12-19,MG
A00519,AG0054,AT13,W0224,,195x,195x,NULL,NULL,W0454,ONLINE SOURCE,NULL,NULL,,,2018-06-21,WH,2020-04-04,DP
A00520,AG0031,AT01,W0225,,1969..,1969..,NULL,NULL,W0436,ONLINE SOURCE,NULL,NULL,,,2018-07-09,WH,2020-12-19,MG
A00521,AG0032,AT05,W0225,AG0031,19xx,19xx,NULL,NULL,W0436,ONLINE SOURCE,NULL,NULL,,,2018-07-09,WH,2020-12-19,MG
A00522,AG0054,AT13,W0226,,195x,195x,NULL,NULL,W0454,ONLINE SOURCE,NULL,NULL,,,2018-07-09,WH,2020-04-04,DP
A00523,AG0054,AT13,W0227,,195x,195x,NULL,NULL,W0454,ONLINE SOURCE,NULL,NULL,,,2018-07-10,WH,2020-04-04,DP
A00524,AG0054,AT13,W0228,,195x,195x,NULL,NULL,W0454,ONLINE SOURCE,NULL,NULL,,,2018-07-10,WH,2020-04-04,DP
A00525,AG0045,AT01,W0229,,1971,1971,NULL,NULL,W0447,ONLINE SOURCE,NULL,NULL,,,2018-07-10,WH,2020-04-04,DP
A00526,AG0106,AT05,W0230,,1966..1970~,1966..1970~,NULL,NULL,W0425,300,NULL,NULL,,unknown place of rustication,2018-07-12,WH,2020-12-19,MG
A00527,AG0103,AT05,W0230,,196x,196x,NULL,NULL,W0419,565,NULL,NULL,,,2018-07-12,WH,2020-12-19,MG
A00528,AG0626,AT03,W0230,AG0103,19xx,19xx,NULL,NULL,W0419,583,NULL,NULL,,,2018-07-12,WH,2020-12-19,MG
A00601,AG0116,AT01,W0184,,1978,1978,NULL,NULL,W0475,560f,NULL,NULL,,,2018-06-01,MG,2020-04-04,DP
A00602,AG0033,AT22,W0187,,1961..1962,1961..1962,NULL,NULL,W0443,ONLINE SOURCE,NULL,NULL,,,2018-06-04,MG,2020-04-04,DP
A00603,AG0041,AT01,W0414,,1966..1976,1966..1976,NULL,NULL,W0446,ONLINE SOURCE,NULL,NULL,unknown work by: AG0286,,2018-06-04,MG,2021-01-02,MG
A00604,AG0018,AT05,W0414,,196x..197x,196x..197x,NULL,NULL,W0480,311,NULL,NULL,unknown work by: AG0286,pls check the source again,2018-06-04,MG,2020-04-04,DP
A00605,AG0626,AT31,W0382,AG0003,1970?,1970?,NULL,NULL,W0486,112,NULL,NULL,,,2018-06-04,MG,2020-04-04,DP
A00606,AG0103,AT02,W0185,,197x,197x,NULL,NULL,W0419,578,NULL,NULL,,,2018-06-04,MG,2021-01-02,MG
A00607,AG0103,AT03,W0185,AG0626,197x,197x,NULL,NULL,W0419,578,NULL,NULL,,,2018-06-04,MG,2021-01-02,MG
A00608,AG0125,AT05,W0554,,197x,197x,NULL,NULL,W0479,75,NULL,NULL,unknown work by: AG0349 AF05,,2018-06-04,MG,2021-01-02,MG
A00609,AG0626,AT05,W0414,,196x..197x,196x..197x,NULL,NULL,W0419,583,NULL,NULL,unknown work by: AG0350 G10,,2018-06-04,MG,2020-04-04,DP
