person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,narrative_age,neibu_access,source_1,page_1,source_2,page_2,fictionality,narrative_status,commentary,note,created,created_by,last_modified,last_modified_by
AG0009,北,岛,zh,male,2,1949,XXXX,赵振开,SP0005,,,yes,W0423,78 80,W0442,188,,,,Third source: https://baike.baidu.com/item/%E5%8C%97%E5%B2%9B/372#reference-[7]-4995327-wrap,2017-07-05,LH,2020-04-02,DP
AG0010,Duo,Duo,en,male,1,1951,XXXX,Li Shizheng,SP0005,,,,W0423,75-77,W0442,188,,,,,2017-07-05,LH,2020-04-02,DP
AG0010,多,多,zh,male,1,1951,XXXX,栗世征,SP0005,,,,W0423,75-77,W0442,188,,,,,2017-07-05,LH,2020-04-02,DP
AG0011,Xu,Haoyuan,en,female,1,1949,XXXX,,SP0141,,,,W0423,76f 80,W0442,190,,,,Third source: W0501 (Place of Rustication: PL0022?),2017-07-05,LH,2020-04-02,DP
AG0011,徐,浩渊,zh,female,1,1949,XXXX,,SP0141,,,,W0423,76f 80,W0442,190,,,,Third source: W0501 (Place of Rustication: PL0022?),2017-07-05,LH,2020-04-02,DP
AG0012,Genzi,,en,male,1,1951,XXXX,Yue Chong,SP0005,S03,,yes,W0423,75 80,W0441,196,,,,,2017-07-05,LH,2020-04-02,DP
AG0012,根子,,zh,male,1,1951,XXXX,岳重,SP0005,S03,,yes,W0423,75 80,W0441,196,,,,,2017-07-05,LH,2020-04-02,DP
AG0013,Ma,Desheng,en,male,3,1952,XXXX,,SP0005,,,,W0442,191,,,,,,,2017-07-05,LH,2020-04-02,DP
AG0013,马,德升,zh,male,3,1952,XXXX,,SP0005,,,,W0442,191,,,,,,,2017-07-05,LH,2020-04-02,DP
AG0014,Zhao,Yifan,en,male,2,1935,1988,,SP0006,S03,,,W0442,194,https://baike.baidu.com/item/%E8%B5%B5%E4%B8%80%E5%87%A1/5968597,ONLINE SOURCE,,,,,2017-07-05,LH,2020-04-02,DP
AG0014,赵,一凡,zh,male,2,1935,1988,,SP0006,S03,,,W0442,194,https://baike.baidu.com/item/%E8%B5%B5%E4%B8%80%E5%87%A1/5968597,ONLINE SOURCE,,,,,2017-07-05,LH,2020-04-02,DP
AG0015,Yi,Qun,en,male,3,1947,XXXX,,SP0436,,,,W0441,197,,,,,,,2017-07-05,LH,2020-04-02,DP
AG0015,依,群,zh,male,3,1947,XXXX,,SP0436,,,,W0441,197,,,,,,,2017-07-05,LH,2020-04-02,DP
AG0016,Zhou,Duo,en,male,3,1947,XXXX,,SP0188,,,,W0450,211,worldcat.org,ONLINE SOURCE,,,,Third source: https://minzhuzhongguo.org/MainArtShow.aspx?AID=45123,2017-07-05,LH,2020-04-02,DP
AG0016,周,舵,zh,male,3,1947,XXXX,,SP0188,,,,W0450,211,worldcat.org,ONLINE SOURCE,,,,Third source: https://minzhuzhongguo.org/MainArtShow.aspx?AID=45123,2017-07-05,LH,2020-04-02,DP
AG0017,Ma,Jia,en,male,1,1953,XXXX,Feng Huai,SP0005,,,,W0422,219ff,http://www.chinawriter.com.cn/zxhy/member/9075.shtml,ONLINE SOURCE,,,,,2017-07-05,LH,2020-04-02,DP
AG0017,马,佳,zh,male,1,1953,XXXX,冯淮,SP0005,,,,W0422,219ff,http://www.chinawriter.com.cn/zxhy/member/9075.shtml,ONLINE SOURCE,,,,,2017-07-05,LH,2020-04-02,DP
