person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,neibu_access,wikidata_id,source_1,page_1,source_2,page_2,note,created,created_by,last_modified,last_modified_by
AG0060,Yang,Xiguang,en,male,2,1948,2004,Yang Xiaokai,SP0196,,,,https://zh.wikipedia.org/wiki/%E6%9D%A8%E5%B0%8F%E5%87%AF,ONLINE SOURCE,https://baike.baidu.com/item/%E6%9D%A8%E5%B0%8F%E5%87%AF/6900844?fromtitle=%E6%9D%A8%E6%9B%A6%E5%85%89&fromid=8785039,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0060,杨,曦光,zh,male,2,1948,2004,杨小凯,SP0196,,,,https://zh.wikipedia.org/wiki/%E6%9D%A8%E5%B0%8F%E5%87%AF,ONLINE SOURCE,https://baike.baidu.com/item/%E6%9D%A8%E5%B0%8F%E5%87%AF/6900844?fromtitle=%E6%9D%A8%E6%9B%A6%E5%85%89&fromid=8785039,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0061,Siao,Eva,en,female,0,1911,2001,,SP0197,,,,W0440,,https://en.wikipedia.org/wiki/Eva_Sandberg_Xiao,,Third source: https://zh.wikipedia.org/wiki/%E5%8F%B6%E5%8D%8E_(%E8%90%A7%E4%B8%89%E5%A4%AB%E4%BA%BA),2017-07-05,LH,2020-04-02,DP
AG0061,叶,华,zh,female,0,1911,2001,,SP0197,,,,W0440,,https://en.wikipedia.org/wiki/Eva_Sandberg_Xiao,,Third source: https://zh.wikipedia.org/wiki/%E5%8F%B6%E5%8D%8E_(%E8%90%A7%E4%B8%89%E5%A4%AB%E4%BA%BA),2017-07-05,LH,2020-04-02,DP
AG0062,Nanchu,,en,female,1,1953,XXXX,,SP0436,,yes,,W0418,196f,https://viaf.org/viaf/263815550/,,"DP: this is an en pen-name by an expat living in the US, no translations or authoritative sources for transliteration are available",2017-07-05,LH,2020-04-02,DP
AG0062,Nanchu,,zh,female,1,1953,XXXX,,SP0436,,yes,,W0418,196f,https://viaf.org/viaf/263815550/,,"DP: this is an en pen-name by an expat living in the US, no translations or authoritative sources for transliteration are available",2017-07-05,LH,2020-04-02,DP
AG0063,Gao,Yuan,en,male,3,1952,XXXX,,SP0335,,,,W0451,5ff.,,,Could not exactly locate Shuiyuan. Somewhere close to the Taihang mountains.,2017-07-05,LH,2020-04-02,DP
AG0063,高,原,zh,male,3,1952,XXXX,,SP0335,,,,W0451,5ff.,,,Could not exactly locate Shuiyuan. Somewhere close to the Taihang mountains.,2017-07-05,LH,2020-04-02,DP
AG0064,Zhang,Zhenzhou,en,male,3,XXXX,XXXX,,SP0436,,,,W0439,51,,,,2017-07-05,LH,2020-04-02,DP
AG0064,张,振州,zh,male,3,XXXX,XXXX,,SP0436,,,,W0439,51,,,,2017-07-05,LH,2020-04-02,DP
AG0065,Gan,Lulin,en,male,3,1XXX,"[1972,1973]",,SP0436,,,,W0439,51,,,,2017-07-05,LH,2020-04-02,DP
AG0065,甘,露林,zh,male,3,1XXX,"[1972,1973]",,SP0436,,,,W0439,51,,,,2017-07-05,LH,2020-04-02,DP
AG0066,Yu,Zhixin,en,male,1,XXXX,XXXX,Yu Tiesheng,SP0436,,,,W0439,51,,,,2017-07-05,LH,2020-04-02,DP
AG0066,于,植信,zh,male,1,XXXX,XXXX,于铁生,SP0436,,,,W0439,51,,,,2017-07-05,LH,2020-04-02,DP
AG0067,Zhang,Runfeng,en,male,3,XXXX,XXXX,,SP0436,,,,W0439,51,,,,2017-07-05,LH,2020-04-02,DP
AG0067,张,润峰,zh,male,3,XXXX,XXXX,,SP0436,,,,W0439,51,,,,2017-07-05,LH,2020-04-02,DP
AG0068,Yang,Xiaomin,en,female,3,XXXX,XXXX,,SP0436,,,,W0439,51,,,,2017-07-05,LH,2020-04-02,DP
AG0068,杨,孝敏,zh,female,3,XXXX,XXXX,,SP0436,,,,W0439,51,,,,2017-07-05,LH,2020-04-02,DP
AG0069,Jiang,Dingyue,en,female,1,XXXX,XXXX,,SP0138,S05,yes,,W0439,51,https://book.douban.com/review/6519809/,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
