agent_id,old_id,agent_type,wikidata_id,fictionality,language,commentary,note,created,created_by,last_modified,last_modified_by
AG0253,P0277,P,Q9652573,,en,,,2020-04-02,DP,2022-09-14,QG
AG0254,P0278,P,Q45517603,,en,,,2020-04-02,DP,2020-04-02,DP
AG0255,P0279,P,Q82083,,en,,,2020-04-02,DP,2020-04-02,DP
AG0256,P0280,P,Q559264,,en,,,2020-04-02,DP,2020-04-02,DP
AG0257,P0281,P,Q10274190,,en,,,2020-04-02,DP,2020-04-02,DP
AG0258,P0282,P,Q92316718,,en,,,2020-04-02,DP,2020-04-02,DP
AG0259,P0283,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0260,P0284,P,Q10880682,,en,,,2020-04-02,DP,2022-09-14,QG
AG0261,P0285,P,Q380202,,en,,,2020-04-02,DP,2020-04-02,DP
AG0262,P0286,P,Q1777502,,en,,,2020-04-02,DP,2020-04-02,DP
AG0263,P0287,P,Q42544,,en,,,2020-04-02,DP,2020-04-02,DP
AG0264,P0288,P,Q502,,fr,,,2020-04-02,DP,2020-04-02,DP
AG0265,P0289,P,Q45431447,,en,he was an expert on Chinese folk religions,,2020-04-02,DP,2020-04-02,DP
AG0266,P0290,P,Q228889,,en,,,2020-04-02,DP,2020-04-02,DP
AG0267,P0291,P,Q85877352,,en,,,2020-04-02,DP,2020-04-02,DP
AG0268,P0292,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0269,P0293,P,Q3845172,,en,Professor,,2020-04-02,DP,2022-09-14,QG
AG0270,P0294,P,Q5702331,,en,,,2020-04-02,DP,2020-04-02,DP
AG0271,P0295,P,Q3498409,,en,,,2020-04-02,DP,2020-04-02,DP
AG0272,P0296,P,Q264517,,en,,,2020-04-02,DP,2020-04-02,DP
AG0273,P0297,P,Q220976,,en,,,2020-04-02,DP,2020-04-02,DP
AG0274,P0298,P,Q161841,,en,,,2020-04-02,DP,2020-04-02,DP
AG0275,P0299,P,Q255500,,en,,,2020-04-02,DP,2020-04-02,DP
AG0276,P0300,P,Q15927807,,en,,,2020-04-02,DP,2020-04-02,DP
AG0277,P0301,P,Q486096,,en,,,2020-04-02,DP,2020-04-02,DP
AG0278,P0302,P,Q33772,,en,,,2020-04-02,DP,2020-04-02,DP
AG0279,P0303,P,Q11099559,,en,,,2020-04-02,DP,2020-04-02,DP
AG0280,P0304,P,Q169150,,en,,,2020-04-02,DP,2020-04-02,DP
AG0281,P0305,P,Q7298,,en,,,2020-04-02,DP,2020-04-02,DP
AG0282,P0320,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0283,P0321,P,Q80137,,en,,,2020-04-02,DP,2020-04-02,DP
AG0284,P0322,P,Q45703913,,en,,,2020-04-02,DP,2020-04-02,DP
AG0285,P0323,P,Q7243,,en,,,2020-04-02,DP,2020-04-02,DP
AG0286,P0324,P,Q7200,,en,,,2020-04-02,DP,2020-04-02,DP
AG0287,P0325,P,Q43718,,en,,,2020-04-02,DP,2020-04-02,DP
AG0288,P0326,P,Q7315,,en,,,2020-04-02,DP,2020-04-02,DP
AG0289,P0327,P,Q8969647,,en,,,2020-04-02,DP,2020-04-02,DP
AG0290,P0328,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0291,P0329,P,Q15462736,,en,,,2020-04-02,DP,2020-04-02,DP
AG0292,P0330,P,Q557081,,en,,,2020-04-02,DP,2020-04-02,DP
AG0293,P0331,P,Q310800,,en,,,2020-04-02,DP,2020-04-02,DP
AG0294,P0332,P,Q60128,,en,,,2020-04-02,DP,2020-04-02,DP
AG0295,P0333,P,Q279103,,fr,,,2020-04-02,DP,2020-04-02,DP
AG0296,P0334,P,Q17649109,,en,,,2020-04-02,DP,2020-04-02,DP
AG0297,P0335,P,Q4583,,en,,,2020-04-02,DP,2020-04-02,DP
AG0298,P0336,P,Q45524287,,en,a woman writer and retired faculty member named Yang,,2020-04-02,DP,2022-09-14,QG
AG0299,P0337,P,Q9215,,en,,,2020-04-02,DP,2020-04-02,DP
AG0300,P0338,P,Q552983,,en,,,2020-04-02,DP,2020-04-02,DP
AG0301,P0339,P,Q692,,en,,,2020-04-02,DP,2020-04-02,DP
AG0302,P0340,P,Q82248,,en,,,2020-04-02,DP,2020-04-02,DP
AG0303,P0341,P,Q5879,,en,,,2020-04-02,DP,2020-04-02,DP
AG0304,P0342,P,Q43444,,en,,,2020-04-02,DP,2020-04-02,DP
AG0305,P0343,P,Q9327,,en,,,2020-04-02,DP,2020-04-02,DP
AG0306,P0344,P,Q5683,,en,,,2020-04-02,DP,2020-04-02,DP
AG0307,P0345,P,Q45371043,,en,rusticated in the south of Anhui province,,2020-04-02,DP,2020-04-02,DP
AG0308,P0346,P,Q7241,,bn,,,2020-04-02,DP,2020-04-02,DP
AG0309,P0347,P,Q185381,,en,,,2020-04-02,DP,2020-04-02,DP
AG0310,P0348,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0311,P0349,P,Q541785,,en,,,2020-04-02,DP,2020-04-02,DP
AG0312,P0350,P,Q33391,,en,,,2020-04-02,DP,2020-04-02,DP
AG0313,P0351,P,Q984644,,en,,,2020-04-02,DP,2020-04-02,DP
AG0314,P0352,P,Q11613,,en,,,2020-04-02,DP,2020-04-02,DP
AG0315,P0353,P,Q7245,,en,,,2020-04-02,DP,2020-04-02,DP
AG0316,P0354,P,Q945333,,en,,,2020-04-02,DP,2020-04-02,DP
AG0317,P0355,P,Q10922624,,en,,,2020-04-02,DP,2020-04-02,DP
