person_id,family_name,first_name,name_lang,sex,rustication,rustication_start,rustication_end,place_of_rust,birthyear,deathyear,alt_name,alt_name_lang,place_of_birth,social_position,neibu_access,source_id_1,page_number_1,source_id_2,page_number_2,commentary,note,created,created_by,last_modified,last_modified_by
P0036,黄,中敬,zh,male,NULL,NULL,NULL,NULL,1919,1988,,,PL0189,,,SS00118,ONLINE SOURCE,https://baike.baidu.com/item/%E9%BB%84%E4%B8%AD%E6%95%AC/8744306,,,,2017-07-05,LH,2018-03-13,WH
P0037,Huang,Xiaozhen,en,male,yes,1965,1973,PL0009,1947,1996,,,PL0012,,,SS00118,ONLINE SOURCE,https://www.douban.com/event/16083771/,,,,2017-07-05,LH,2018-03-13,WH
P0037,黄,小振,zh,male,yes,1965,1973,PL0009,1947,1996,,,PL0012,,,SS00118,ONLINE SOURCE,https://www.douban.com/event/16083771/,,,,2017-07-05,LH,2018-03-13,WH
P0038,Wang,Xiulian,en,male,no,NULL,NULL,NULL,,,,,,,,SS00026,ONLINE SOURCE,,,He was the group leader of Huang Xiaolong.,,2017-07-05,LH,2018-02-07,WH
P0038,王,秀濂,zh,male,no,NULL,NULL,NULL,,,,,,,,SS00026,ONLINE SOURCE,,,He was the group leader of Huang Xiaolong.,,2017-07-05,LH,2018-02-07,WH
P0039,Dong,Fu,en,male,yes,1969,1970,PL0055,1951,,Wang Dongyu,en,PL0004,,,SS00135,ONLINE SOURCE,,,,,2017-07-05,LH,2018-01-03,MG
P0039,东,夫,zh,male,yes,1969,1970,PL0055,1951,,王东渝,zh,PL0004,,,SS00135,ONLINE SOURCE,,,,,2017-07-05,LH,2018-01-03,MG
P0040,Jin,Zhong,en,male,NULL,NULL,NULL,PL0011,1926,2008,Zhang Shijing,en,PL0069,,,SS00061,ONLINE SOURCE,http://www.baike.com/wiki/%E9%87%91%E4%B8%AD,ONLINE SOURCE,,"I didn�t find the information about the place of rust, what I found is nothing to do with PL0011. ",2017-07-05,LH,2018-03-13,WH
P0040,金,中,zh,male,NULL,NULL,NULL,PL0011,1926,2008,章世箐,zh,PL0069,,,SS00061,ONLINE SOURCE,http://www.baike.com/wiki/%E9%87%91%E4%B8%AD,ONLINE SOURCE,,"I didn�t find the information about the place of rust, what I found is nothing to do with PL0011. ",2017-07-05,LH,2018-03-13,WH
P0041,Zhao,Xiaoling,en,female,yes,1969,"[1972,1973]",PL0012,1947,,,,PL0012,,,SS00119,ONLINE SOURCE,https://book.douban.com/subject/3200202/,,,,2017-07-05,LH,2018-03-13,WH
P0041,赵,晓铃,zh,female,yes,1969,"[1972,1973]",PL0012,1947,,,,PL0012,,,SS00119,ONLINE SOURCE,https://book.douban.com/subject/3200202/,,,,2017-07-05,LH,2018-03-13,WH
P0042,Cao,Ying,en,male,NULL,NULL,NULL,NULL,1923,2015,Sheng Junfeng,en,PL0190,,,SS00119,ONLINE SOURCE,https://baike.baidu.com/item/%E8%8D%89%E5%A9%B4,,,,2017-07-05,LH,2018-03-13,WH
P0042,草,婴,zh,male,NULL,NULL,NULL,NULL,1923,2015,盛峻峰,zh,PL0190,,,SS00119,ONLINE SOURCE,https://baike.baidu.com/item/%E8%8D%89%E5%A9%B4,,,,2017-07-05,LH,2018-03-13,WH
P0043,Huang,Aihe,en,male,unknown,NULL,NULL,NULL,,,,,,,,SS00150,ONLINE SOURCE,,,,,2017-07-05,LH,2018-02-07,WH
P0043,黄,艾禾,zh,male,unknown,NULL,NULL,NULL,,,,,,,,SS00150,ONLINE SOURCE,,,,,2017-07-05,LH,2018-02-07,WH
P0045,Fu,Weici,en,male,NULL,NULL,NULL,NULL,1923,2014,,,PL0019,,,SS00061,ONLINE SOURCE,https://baike.baidu.com/item/%E5%82%85%E6%83%9F%E6%85%88,,,,2017-07-05,LH,2018-03-13,WH
